City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
253,Port Elizabeth,ZA,70.11,few clouds,-33.918,25.5701,39 On Nile Guest House
254,Broken Hill,AU,64.11,clear sky,-31.95,141.4333,Royal Exchange Hotel
255,Puerto Del Rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
257,Cerritos,US,63.48,clear sky,33.8583,-118.0648,Sheraton Cerritos Hotel
259,La Romana,DO,84.56,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
260,Adiake,CI,85.59,clear sky,5.2863,-3.304,Monhotel résidence Inn Adiake
261,Isangel,VU,78.94,overcast clouds,-19.55,169.2667,Tanna Lodge
262,Rawson,AR,78.98,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
263,Constitucion,CL,68.09,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
266,Livramento,BR,84.87,scattered clouds,-3.0254,-60.1803,Refúgio Samauma
267,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
270,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
274,Najran,SA,70.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
277,Acapulco,MX,80.8,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
278,Aden,YE,78.39,clear sky,12.7794,45.0367,Sama Emirate Hotel
281,Kailua,US,73.38,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
282,Byron Bay,AU,69.87,overcast clouds,-28.65,153.6167,Backpackers Inn
284,Manokwari,ID,77.11,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
291,Chicama,PE,64.94,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
292,Cabo San Lucas,MX,71.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
293,Saint-Joseph,RE,79.16,heavy intensity rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
301,Sibu,MY,75.51,heavy intensity rain,2.3,111.8167,RH HOTEL (4 Star)
302,Kandrian,PG,78.8,overcast clouds,-6.2167,149.55,Kandrian Station
303,Bilma,NE,65.07,clear sky,18.6853,12.9164,Expeditions Ténére voyages
305,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
306,Los Llanos De Aridane,ES,69.12,few clouds,28.6585,-17.9182,Valle Aridane
307,Bowen,AU,75.42,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
315,Venice,US,81.1,haze,27.0998,-82.4543,A Beach Retreat On Casey Key
319,Kawalu,ID,71.74,moderate rain,-7.3817,108.2082,KOSAN UNGU UNSIK
320,Ascension,US,75.0,thunderstorm,30.2169,-90.9001,Highland Inn
321,Cidreira,BR,80.83,few clouds,-30.1811,-50.2056,Hotel Castelo
323,Koumac,NC,78.66,moderate rain,-20.5667,164.2833,Le Monitel
327,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
328,Quatre Cocos,MU,80.1,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
329,Kahului,US,69.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
330,The Valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
332,Guarapari,BR,80.49,light rain,-20.6667,-40.4975,Hotel Porto do Sol
333,Fez,MA,73.51,clear sky,34.0372,-4.9998,Hotel Mounia Fès
335,Malakal,SS,84.25,overcast clouds,9.5334,31.6605,Nile Palace Hotel
337,Puerto Escondido,MX,81.95,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
342,Chipata,ZM,68.54,light rain,-13.6333,32.65,Protea Hotel by Marriott Chipata
343,Soyo,AO,84.25,broken clouds,-6.1349,12.3689,Hotel Mpampa
344,Kotma,IN,63.01,broken clouds,23.2,81.9667,Abhishek dwivedi
348,Vallenar,CL,83.88,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
349,Casino,AU,69.55,broken clouds,-28.8667,153.05,Squatters Homestead Motel
350,Mar Del Plata,AR,71.87,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
352,Omboue,GA,78.58,overcast clouds,-1.5746,9.2618,Hotel Olako
354,Lorengau,PG,79.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
356,Lucapa,AO,64.76,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
357,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
362,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
368,Mount Pleasant,US,75.34,few clouds,32.7941,-79.8626,Best Western Patriots Point
371,Buraydah,SA,72.05,clear sky,26.326,43.975,فندق راحة السلام
381,Abu Zabad,SD,82.9,scattered clouds,12.35,29.25,حامد محمد نور
384,Alice Springs,AU,63.95,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
385,Salinopolis,BR,82.92,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
386,Geraldton,AU,73.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
388,Puerto Baquerizo Moreno,EC,79.79,few clouds,-0.9,-89.6,Hotel los Algarrobos
389,Baghdad,IQ,64.31,broken clouds,33.3406,44.4009,Baghdad Hotel
390,Mporokoso,ZM,63.1,moderate rain,-9.3727,30.125,Government Guest House
392,Zaria,NG,80.01,scattered clouds,11.1113,7.7227,A.B.U Hotels
393,Virginia Beach,US,68.05,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
394,Port Macquarie,AU,63.9,light rain,-31.4333,152.9167,Rydges Port Macquarie
395,Gushikawa,JP,63.63,scattered clouds,26.3544,127.8686,Kirari Guest House
397,Necochea,AR,81.03,light rain,-38.5473,-58.7368,dyd -mar Hotel
398,Doha,QA,66.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
399,Ermelo,ZA,75.69,scattered clouds,-26.5333,29.9833,Zemira Guesthouse
400,Piacabucu,BR,85.82,moderate rain,-10.4056,-36.4344,Piaçabuçu News
402,Tiarei,PF,78.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
403,Esperance,AU,62.44,clear sky,-33.8667,121.9,Hospitality Esperance
408,Ixtapa,MX,73.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
409,Machali,CL,76.28,scattered clouds,-34.1833,-70.6667,Mining House
411,Chabahar,IR,70.79,clear sky,25.2919,60.643,هتل گدروشیا
412,Vao,NC,79.47,light rain,-22.6667,167.4833,Hotel Kou-Bugny
413,Ambagarh Chauki,IN,69.12,scattered clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
415,Saint-Leu,RE,79.63,moderate rain,-21.15,55.2833,La Caz Oceane
416,Poum,NC,81.07,broken clouds,-20.2333,164.0167,Gîte kajeon
418,San Policarpo,PH,78.93,moderate rain,12.1791,125.5072,Agapita M. Nicart
419,Marolambo,MG,66.25,heavy intensity rain,-20.05,48.1167,local guide suport centre
420,Sur,OM,70.2,clear sky,22.5667,59.5289,Sur Plaza Hotel
421,Mahebourg,MU,80.26,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
425,Lompoc,US,61.12,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
427,Lydenburg,ZA,75.27,scattered clouds,-25.0978,30.4597,The Palms Boutique Hotel
428,Takoradi,GH,83.79,few clouds,4.8845,-1.7554,Raybow International Hotel
429,Faya,SA,60.91,few clouds,18.3851,42.4509,املاك خالد الشعشوع
430,Carauari,BR,79.18,overcast clouds,-4.8828,-66.8958,Hotel Fellip
431,Dingle,PH,74.3,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
433,Richards Bay,ZA,81.55,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
434,Atambua,ID,74.28,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
436,Batouri,CM,84.85,overcast clouds,4.4333,14.3667,Hotel Hollywood
443,Goya,AR,89.8,light rain,-29.14,-59.2626,Apart Costanera Goya
449,Bertoua,CM,83.91,broken clouds,4.5833,13.6833,Hotel De Paris
451,Chimbote,PE,76.44,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
457,Jaisalmer,IN,64.06,clear sky,26.9147,70.9181,Hotel Fifu
460,Umm Lajj,SA,70.65,clear sky,25.0213,37.2685,Moon light Furnished Units
461,Souillac,MU,80.37,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
465,Pedernales,DO,82.33,few clouds,18.0384,-71.744,Hotel Costa Marina
467,Ambulu,ID,75.79,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
473,Moree,AU,62.62,clear sky,-29.4667,149.85,Molika Springs Motel
476,Coruche,PT,61.43,overcast clouds,38.9595,-8.5252,"J. Macário, Lda"
477,Ugoofaaru,MV,81.1,clear sky,5.6667,73.0,Ungoofaaru Inn
481,Comodoro Rivadavia,AR,69.66,scattered clouds,-45.8667,-67.5,Austral Hotel
482,Liku,ID,75.02,overcast clouds,-0.7275,119.8922,Wahyu
483,Dumka,IN,66.96,clear sky,24.2667,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
485,Mamallapuram,IN,79.05,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
487,Praia,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
490,Cukai,MY,80.55,light rain,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
491,Gualaquiza,EC,81.84,scattered clouds,-3.4,-78.55,Hotel Merceditas
492,Cairns,AU,81.1,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
494,Namatanai,PG,78.66,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
497,Nova Olimpia,BR,83.73,broken clouds,-14.7972,-57.2881,Motel glamour
501,Kasane,BW,77.09,thunderstorm,-17.8167,25.15,The Old House
503,Sinnamary,GF,80.1,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
507,Tautira,PF,78.82,few clouds,-17.7333,-149.15,Pension Oaoa
