City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
129,Shache,CN,38.4167,77.2406,32.23,36,100,6.29,overcast clouds
130,Bethel,US,41.3712,-73.414,42.84,97,100,3.8,light rain
131,Saint George,US,37.1041,-113.5841,27.54,37,6,4.27,clear sky
132,Mahebourg,MU,-20.4081,57.7,80.26,94,75,26.46,broken clouds
133,Thompson,CA,55.7435,-97.8558,-25.44,75,40,4.61,scattered clouds
134,Clearlake,US,38.9582,-122.6264,44.15,72,71,2.33,broken clouds
135,Tortoli,IT,39.9256,9.6572,60.96,65,8,6.73,clear sky
136,Hobart,AU,-42.8794,147.3294,52.05,78,75,4.61,broken clouds
137,Chaiya,TH,9.3862,99.1986,79.52,78,12,11.45,few clouds
138,Ishigaki,JP,24.3448,124.1572,68.63,79,100,26.15,overcast clouds
139,Aykhal,RU,66.0,111.5,-21.01,100,49,2.89,scattered clouds
140,Pangnirtung,CA,66.1451,-65.7125,3.2,92,100,19.57,light snow
141,Bambous Virieux,MU,-20.3428,57.7575,80.22,90,100,25.1,moderate rain
142,Klaksvik,FO,62.2266,-6.589,38.32,82,97,22.73,overcast clouds
143,Hithadhoo,MV,-0.6,73.0833,82.08,69,100,4.29,overcast clouds
144,Anloga,GH,5.7947,0.8973,83.68,67,15,12.33,few clouds
145,Puerto Leguizamo,CO,-0.1934,-74.7819,89.37,49,89,1.36,overcast clouds
146,Tezu,IN,27.9167,96.1667,56.8,66,87,4.16,overcast clouds
147,Bandarbeyla,SO,9.4942,50.8122,76.59,67,2,16.4,clear sky
148,Mae Sai,TH,20.4335,99.8762,64.89,46,0,3.13,clear sky
149,Norman Wells,CA,65.282,-126.8329,-45.36,66,20,3.44,few clouds
150,Sisimiut,GL,66.9395,-53.6735,15.93,64,100,16.4,overcast clouds
151,Kodiak,US,57.79,-152.4072,38.71,93,100,20.71,light rain
152,Walvis Bay,NA,-22.9575,14.5053,76.08,59,2,16.42,clear sky
153,Saldanha,ZA,-33.0117,17.9442,66.24,69,59,12.33,broken clouds
154,Progreso,MX,21.2833,-89.6667,79.11,71,93,16.04,overcast clouds
155,Kavieng,PG,-2.5744,150.7967,80.64,79,100,8.12,overcast clouds
156,Palmer,US,42.1584,-72.3287,44.56,85,100,1.01,light rain
157,Quelimane,MZ,-17.8786,36.8883,83.59,68,99,8.39,overcast clouds
158,Hofn,IS,64.2539,-15.2082,30.22,55,75,28.77,broken clouds
159,Bredasdorp,ZA,-34.5322,20.0403,71.28,49,91,18.25,overcast clouds
160,Bluffton,US,32.2371,-80.8604,69.06,88,75,4.0,broken clouds
161,Nanortalik,GL,60.1432,-45.2371,30.6,76,100,15.55,light snow
162,Fairbanks,US,64.8378,-147.7164,-25.98,60,5,4.29,clear sky
163,Gayny,RU,60.3071,54.3241,8.13,99,100,3.22,overcast clouds
164,Laela,TZ,-8.5667,32.05,69.48,83,81,5.17,light rain
165,Naze,JP,28.3667,129.4833,55.27,84,100,14.41,overcast clouds
166,Kananga,CD,-5.8958,22.4178,66.97,98,100,7.78,light rain
167,Ouesso,CG,1.6136,16.0517,99.7,15,73,1.92,broken clouds
168,Arraial Do Cabo,BR,-22.9661,-42.0278,77.58,80,97,5.3,overcast clouds
169,Luderitz,NA,-26.6481,15.1594,72.88,64,1,17.16,clear sky
170,Zenzeli,RU,45.9241,47.0474,41.61,72,95,8.03,overcast clouds
171,Shimizu,JP,43.0061,142.8847,18.1,79,47,11.86,scattered clouds
172,Kaitangata,NZ,-46.2817,169.8464,55.92,81,100,2.98,heavy intensity rain
173,Ribeira Grande,PT,38.5167,-28.7,63.0,67,20,8.05,few clouds
174,Mindelo,CV,16.8901,-24.9804,80.15,47,0,20.71,clear sky
175,Kazerun,IR,29.6195,51.6541,57.33,40,0,1.57,clear sky
